Crop Number,Variety,GB Grade,Area (ha),County,Producer,Organic
164590,CHARLOTTE,S,1.6,Aberdeen,Ian Cruickshank (Potatoes) Ltd,No
164591,CHARLOTTE,S,7.9,Aberdeen,Ian Cruickshank (Potatoes) Ltd,No
164592,DESIREE,S,0.2,Aberdeen,Ian Cruickshank (Potatoes) Ltd,No
164593,PICASSO,S,2.6,Aberdeen,Agrico UK Ltd,No
164594,SORAYA,S,3,Aberdeen,Cullen Allen Ltd,No
164595,GEMSON,S,2.4,Aberdeen,Grampian Growers,No
164596,MARIS PIPER,S,2.9,Aberdeen,Messrs A M Henderson,No
164597,SORAYA,S,0.6,Aberdeen,Cullen Allen Ltd,No
164598,CARA,S,1.4,Aberdeen,Messrs A M Henderson,No
164599,CARA,S,0.5,Aberdeen,Messrs A M Henderson,No
164600,HERMES,S,0.9,Aberdeen,Messrs A M Henderson,No
164601,HERMES,S,8.8,Aberdeen,Messrs A M Henderson,No
164602,CARA,S,9,Aberdeen,Messrs A M Henderson,No
164603,CARA,S,2,Aberdeen,Messrs A M Henderson,No
164604,CARA,S,2.3,Aberdeen,Messrs A M Henderson,No
164605,CARA,SE,3.9,Aberdeen,Messrs A M Henderson,No
164606,CARA,SE,5,Aberdeen,Messrs A M Henderson,No
164607,CARA,E,2,Aberdeen,Messrs A M Henderson,No
164608,HERMES,S,0.4,Aberdeen,Messrs A M Henderson,No
164609,HERMES,E,3.3,Aberdeen,Messrs A M Henderson,No
164611,HERMES,E,4,Aberdeen,Messrs A M Henderson,No
164612,HERMES,E,2.8,Aberdeen,Messrs A M Henderson,No
164623,SH C 909,PB,0.04,Aberdeen,Stet Potato Ltd for Saltire Seed Ltd,No
164624,HERMES,PB,0.3,Ross,Saltire Seed Ltd,No
164625,KING RUSSET,PB,0.27,Ross,McCain Potatoes,No
164626,KING RUSSET,S,3.5,Ross,McCain Potatoes,No
164627,OPAL,PB,0.22,Ross,Solana Seeds United Kingdom Ltd,No
164628,SH C 1010,PB,0.38,Ross,Stet Potato Ltd,No
164629,EDISON,PB,0.5,Ross,Solana Seeds United Kingdom Ltd,No
164630,PIROL,PB,0.16,Ross,Saltire Seed Ltd,No
164631,HERACLEA,PB,0.8,Ross,HZPC UK Limited,No
164632,CARA,SE,4,Perth,Cygnet PEP Ltd,No
164633,ARCADE,PB,0.45,Ross,Mercian Limited,No
164634,ATLANTIC,S,4,Perth,Cygnet PEP Ltd,No
164635,LORIMER,S,2,Perth,Cygnet PEP Ltd,No
164636,EUROSTAR,PB,0.57,Ross,Stet Potato Ltd,No
164637,AMANDA,PB,0.44,Ross,Solana Seeds United Kingdom Ltd,No
